"Subsection Code","Section","Subsection","Metadata"
"1.1","Contacts","Contact organisation","Food and Agriculture Organization of the United Nations (FAO)"
"1.2","Contacts","Contact organisation unit","Statistics Division (ESS), Environment Statistics team"
"1.3","Contacts","Contact name","Francesco Nicola Tubiello"
"1.4","Contacts","Contact person function","Team Leader/Senior Statistician"
"1.5","Contacts","Contact mail address","Viale delle Terme di Caracalla, 00153 Rome, Italy"
"1.6","Contacts","Contact email address","faostat@fao.org"
"1.7","Contacts","Contact phone number","+39 06 5705 5303"
"1.8","Contacts","Contact fax number",""
"2.1","Action Date","Metadata last certified","29/05/2017"
"2.2","Action Date","Metadata last posted","29/05/2017"
"2.3","Action Date","Metadata last update","29/05/2017"
"3.1","Main Characteristics data","Data description","The FAOSTAT domain Land Cover under the Agri-Environmental Indicators section contains land cover information organized by the land cover classes of the international standard system for Environmental and Economic Accounting Central Framework (SEEA CF). The land cover information is compiled from publicly available Global Land Cover (GLC) maps: a) the International Geosphere-Biosphere Programme (IGBP)-MODIS land cover type (2001–2012) and the European Spatial Agency (ESA) Climate Change Initiative (CCI) annual land cover maps (1992–2015) produced by the Université catholique de Louvain (UCL)-Geomatics."
"3.2","Main Characteristics data","Classification system","SEEA Central Framework -  land cover classification."
"3.2.1","Main Characteristics data","Primary classification",""
"3.2.2","Main Characteristics data","Secondary classification",""
"3.2.3","Main Characteristics data","Secondary classification",""
"3.3","Main Characteristics data","Sector coverage","Land cover"
"3.4","Main Characteristics data","Statistical concepts and definitions","Land is a central component of economic and environmental accounting. As defined by the System of Environmental-Economic Accounting Central Framework (SEEA CF) land is “a unique environmental asset that delineates the space in which economic activities and environmental processes take places and within which environmental assets and economic assets are located”. Land cover refers to the observed physical and biological land cover of the Earth’s surface, and includes natural vegetation and abiotic (non-living) surfaces (SEEA CF, 5.257). The land cover classification of the SEEA CF currently is the international standard to prepare the physical accounts for land cover. The SEEA Agriculture, Forestry and Fisheries SEEA-AFF (FAO, 2016), which was adopted in June 2016 by the UNCEEA as an ""Internationally Approved Methodological Document"" in support of the SEEA CF, also applies the land cover classification of the SEEA CF.  In the scope of the SEEA CF and SEEA AFF, land cover information is relevant for understanding the changing composition and condition of countries ecosystems, including its agricultural and forest landscape. A physical asset account for land cover with opening stocks, additions and reductions to stock, recording of net changes and closing stock is formulated in the SEEA AFF (Table 4.9 Physical land cover asset account)."
"3.5","Main Characteristics data","Statistical unit","Countries and Territories."
"3.6","Main Characteristics data","Statistical population","All Countries and Territories of the world."
"3.7","Main Characteristics data","Reference area","Areas of all the Countries and Territories of the world."
"3.7.1","Main Characteristics data","Code - reference area","FAOSTAT, M-49, ISO2 and ISO3 http://www.fao.org/faostat/en/#definitionsGlobal Administrative Unit Layers (GAUL), UN-FAO:http://www.fao.org/geonetwork/srv/en/main.home"
"3.7.2","Main Characteristics data","Code - Number of countries/areas covered",""
"3.8","Main Characteristics data","Time coverage","IGBP-MODIS: 2001 – 2012 CCI-LC: 1992 – 2015"
"3.8.1","Main Characteristics data","Periodicity","Yearly"
"3.8.2","Main Characteristics data","Start period",""
"3.8.3","Main Characteristics data","End period",""
"3.9","Main Characteristics data","Base period","Not Applicable"
"3.9.1","Main Characteristics data","Base period code",""
"4.0","Units","Unit of Measure","Areas values are in 1000 ha (hectares)"
"4.1","Units","Unit of measure codes",""
"5.0","Reference period","Reference period",""
"6.0","Formal Set of Instructions","Institutional mandate","Article I point 1 of the FAO constitution states: ""The Organization shall collect, analyse, interpret and disseminate information relating to nutrition, food and agriculture"". In this Constitution, the term ""agriculture"" and its derivatives include fisheries, marine products, forestry and primary forestry products. The first session of the FAO Conference in 1945 provided the rationale: ""If FAO is to carry out its work successfully it will need to know where and why hunger and malnutrition exist, what forms they take, and how widespread they are. Such data will serve as a basis for making plans, determining the efficacy of measures used, and measuring progress from time to time."""
"6.1","Formal Set of Instructions","Legal acts and other agreements",""
"6.2","Formal Set of Instructions","Data sharing",""
"6.2.1","Formal Set of Instructions","Code - IOs from which FAO imports all or some data",""
"7.0","Formal Provision","Confidentiality","Not Applicable"
"7.1","Formal Provision","Confidentiality - policy",""
"7.2","Formal Provision","Confidentiality - data treatment",""
"8.0","Policy Regarding the Release","Release policy",""
"8.1","Policy Regarding the Release","Release calendar","Releases depends on availability of underlying sources of land cover information."
"8.2","Policy Regarding the Release","Release calendar access",""
"8.3","Policy Regarding the Release","User access","In line with FAO's Statistics Code of Practice, data are disseminated on FAO's website respecting professional independence and in an objective, professional and transparent manner in which all users are treated equitably."
